Sample,Achnanthes minutissima,Amphora montana ,Amphora veneta,Amphora coffeaeformis aponina ,Amphora punctata ,Amphora sulcata,Amphora acutiuscula,Brachysira microcephela,Caloneis bacillum,Caponea caribbea,Cyclotella iris,Diploneis oblongella,Diploneis parma,Encyonema evergladianum,Encyonema mesianum,Encyonema silesiacum elegans,Encyonopsis microcephela,Entomoneis cf. paludosa,Envekadea metezeltinii,Envekadea vanlandinghamii,Eunotia flexuosa,Eunotia naegeli,Fragilaria ftsp16,Fragilaria minuscula,Fragilaria nanana,Fragilaria synegrotesca,Gomphonema coronatum,Gomphonema intricatum vibrio,Kobayasiella parasubtilissima,Kobayasiella subtilissima,Mastoglogia pseduosmithii,Mastogloia braunii,Mastogloia calcarea,Mastogloia lanceolata,Navicula bulnheimii,Navicula cryptotenella,Navicula radiosa,Navicula salinicola,Navicula salinarum,Navicula vmsp2,Nitzschia acicularis,Nitzschia amphibia amphibia,Nitzschia ftsp16,Nitzschia lacunarum,Nitzschia nana,Nitzschia palea debilis,Nitzschia serpentiraphe,Nitzschia vmsp4 (curved),Nitzschia microcephela,Planothidium rostratum,Pleurosigma salinarum,Rhopalodia pacifica,Seminavis pusilla,Stauroneis phoenicentron,Stephanocyclus menghiniana,Synedra filiformis exilis,Ulnaria delicatissima,Unknown vmsp2 
M1FW6C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.000,0.000,0.000,0.000,0.000,0.011,0.038,0.015,0.352,0.000,0.000,0.000,0.008,0.045,0.000,0.000,0.000,0.042,0.000,0.098,0.000,0.008,0.000,0.000,0.008,0.000,0.000,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.000,0.002,0.000
M1FW8C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.047,0.094,0.012,0.337,0.000,0.000,0.000,0.004,0.016,0.000,0.000,0.000,0.020,0.000,0.071,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000
M1FW10C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.197,0.000,0.000,0.000,0.000,0.000,0.047,0.071,0.012,0.458,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.024,0.000,0.043,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
M1FW12S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.002,0.004,0.075,0.134,0.051,0.279,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.004,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.275,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000
M1FW14S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.122,0.083,0.016,0.533,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.002,0.000
M1FW16S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.060,0.096,0.008,0.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000
M1BW5C,0.000,0.000,0.000,0.023,0.019,0.002,0.012,0.132,0.000,0.008,0.000,0.035,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.043,0.008,0.000,0.074,0.000,0.023,0.000,0.000,0.000,0.002,0.156,0.101,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.062,0.000,0.008,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.000,0.008,0.002,0.000,0.000
M1BW7C,0.000,0.000,0.002,0.062,0.004,0.000,0.004,0.018,0.000,0.000,0.000,0.033,0.004,0.000,0.000,0.007,0.015,0.000,0.007,0.004,0.000,0.000,0.070,0.004,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.004,0.147,0.202,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.187,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.004,0.004,0.000,0.018
M1BW9C,0.000,0.000,0.000,0.188,0.039,0.004,0.000,0.047,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.047,0.027,0.000,0.149,0.000,0.006,0.000,0.000,0.004,0.000,0.164,0.176,0.000,0.000,0.000,0.027,0.000,0.000,0.004,0.000,0.031,0.000,0.012,0.027,0.000,0.000,0.004,0.000,0.000,0.016,0.004,0.000,0.002,0.008,0.000,0.000
M1BW11S,0.000,0.000,0.000,0.100,0.071,0.000,0.004,0.046,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.002,0.000,0.025,0.000,0.000,0.088,0.000,0.050,0.000,0.000,0.000,0.008,0.243,0.046,0.000,0.000,0.000,0.021,0.000,0.000,0.008,0.000,0.000,0.000,0.033,0.017,0.000,0.013,0.000,0.000,0.004,0.130,0.033,0.000,0.017,0.004,0.000,0.000
M1BW13S,0.000,0.000,0.004,0.044,0.123,0.000,0.000,0.095,0.008,0.008,0.000,0.032,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.048,0.000,0.004,0.139,0.000,0.008,0.000,0.000,0.000,0.012,0.143,0.008,0.000,0.004,0.000,0.024,0.000,0.000,0.004,0.000,0.000,0.004,0.036,0.032,0.000,0.004,0.000,0.000,0.000,0.103,0.036,0.000,0.012,0.040,0.000,0.000
M1BW16S,0.000,0.002,0.000,0.082,0.020,0.000,0.004,0.061,0.029,0.004,0.000,0.049,0.004,0.000,0.000,0.000,0.000,0.002,0.002,0.016,0.000,0.000,0.029,0.004,0.008,0.241,0.000,0.024,0.000,0.000,0.000,0.004,0.245,0.029,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.024,0.002,0.012,0.033,0.000,0.000,0.000,0.000,0.000,0.016,0.024,0.000,0.004,0.002,0.000,0.004
M2FW3C,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.162,0.000,0.000,0.000,0.000,0.004,0.018,0.051,0.029,0.507,0.000,0.000,0.000,0.015,0.007,0.000,0.000,0.000,0.048,0.004,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000
M2FW6C,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.109,0.000,0.000,0.000,0.000,0.000,0.008,0.039,0.012,0.516,0.000,0.000,0.000,0.019,0.012,0.000,0.000,0.000,0.047,0.000,0.062,0.004,0.000,0.000,0.000,0.000,0.002,0.000,0.105,0.002,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.050,0.000
M2FW8C,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.008,0.139,0.000,0.488,0.000,0.000,0.000,0.008,0.008,0.000,0.000,0.000,0.008,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000
M2FW13S,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.113,0.117,0.000,0.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.011,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
M2FW15S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.002,0.173,0.137,0.000,0.408,0.000,0.000,0.002,0.000,0.004,0.002,0.000,0.000,0.008,0.000,0.000,0.004,0.004,0.000,0.000,0.008,0.000,0.000,0.125,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.008,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
M2FW16S,0.008,0.000,0.000,0.000,0.000,0.000,0.006,0.034,0.000,0.000,0.000,0.002,0.000,0.110,0.093,0.000,0.503,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.021,0.000,0.004,0.000,0.000,0.021,0.004,0.000,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.004,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
M2BW3C,0.000,0.011,0.000,0.011,0.056,0.000,0.004,0.134,0.007,0.004,0.000,0.041,0.004,0.000,0.000,0.000,0.000,0.002,0.000,0.026,0.000,0.000,0.097,0.004,0.000,0.101,0.000,0.022,0.000,0.000,0.007,0.004,0.175,0.022,0.000,0.000,0.000,0.019,0.000,0.000,0.007,0.000,0.011,0.000,0.022,0.007,0.000,0.045,0.004,0.006,0.000,0.026,0.052,0.000,0.011,0.048,0.000,0.006
M2BW5C,0.000,0.007,0.002,0.004,0.030,0.002,0.007,0.152,0.000,0.011,0.000,0.048,0.000,0.002,0.000,0.000,0.000,0.000,0.004,0.026,0.000,0.000,0.041,0.011,0.000,0.089,0.000,0.011,0.000,0.000,0.033,0.007,0.230,0.100,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.015,0.000,0.030,0.033,0.000,0.002,0.007,0.000,0.000,0.002,0.045,0.000,0.004,0.026,0.000,0.007
M2BW7C,0.000,0.000,0.002,0.000,0.022,0.007,0.018,0.212,0.002,0.007,0.000,0.040,0.000,0.000,0.000,0.000,0.007,0.007,0.000,0.144,0.000,0.000,0.036,0.014,0.000,0.050,0.000,0.018,0.000,0.000,0.018,0.011,0.108,0.104,0.000,0.000,0.000,0.007,0.000,0.000,0.002,0.000,0.025,0.000,0.029,0.040,0.000,0.000,0.000,0.000,0.000,0.002,0.022,0.000,0.025,0.011,0.000,0.004
M2BW12S,0.000,0.000,0.000,0.014,0.036,0.000,0.002,0.071,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.036,0.004,0.000,0.100,0.000,0.004,0.000,0.000,0.057,0.011,0.311,0.154,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.018,0.000,0.011,0.005,0.000,0.000,0.014,0.000,0.000,0.005,0.046,0.000,0.007,0.057,0.000,0.011
M2BW14S,0.000,0.000,0.004,0.023,0.023,0.000,0.002,0.104,0.000,0.002,0.000,0.023,0.002,0.000,0.000,0.000,0.000,0.008,0.000,0.035,0.000,0.000,0.077,0.004,0.000,0.074,0.000,0.008,0.000,0.000,0.031,0.004,0.313,0.104,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.008,0.000,0.012,0.039,0.000,0.000,0.000,0.000,0.000,0.012,0.054,0.000,0.004,0.019,0.000,0.004
M2BW16S,0.000,0.004,0.000,0.027,0.019,0.004,0.004,0.080,0.015,0.011,0.000,0.042,0.004,0.000,0.000,0.000,0.000,0.027,0.000,0.046,0.000,0.000,0.034,0.008,0.000,0.110,0.000,0.019,0.000,0.000,0.023,0.015,0.244,0.057,0.000,0.004,0.000,0.023,0.000,0.000,0.000,0.000,0.011,0.000,0.019,0.038,0.000,0.002,0.008,0.000,0.000,0.046,0.019,0.000,0.015,0.019,0.000,0.004
M9FW3C,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.000,0.000,0.000,0.019,0.019,0.053,0.008,0.465,0.000,0.000,0.000,0.000,0.008,0.004,0.000,0.004,0.113,0.000,0.038,0.008,0.023,0.000,0.000,0.000,0.000,0.000,0.116,0.008,0.000,0.000,0.000,0.000,0.004,0.004,0.000,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
M9FW6C,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.000,0.000,0.000,0.004,0.004,0.020,0.055,0.004,0.446,0.000,0.000,0.000,0.004,0.000,0.000,0.004,0.008,0.070,0.000,0.027,0.000,0.016,0.000,0.000,0.027,0.000,0.000,0.043,0.000,0.002,0.000,0.000,0.000,0.008,0.000,0.000,0.004,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
M9FW8C,0.033,0.000,0.000,0.000,0.002,0.002,0.000,0.260,0.000,0.000,0.000,0.000,0.000,0.020,0.045,0.000,0.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.004,0.020,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000
M9FW11S,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.342,0.000,0.000,0.000,0.000,0.000,0.030,0.019,0.000,0.364,0.000,0.000,0.000,0.004,0.008,0.000,0.000,0.000,0.140,0.000,0.019,0.000,0.004,0.000,0.000,0.030,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.004,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.004,0.000,0.000
M9FW15S,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.322,0.000,0.000,0.000,0.023,0.004,0.019,0.004,0.000,0.388,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.004,0.004,0.015,0.000,0.000,0.027,0.000,0.000,0.031,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.015,0.000,0.000
M9FW16S,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.007,0.000,0.004,0.036,0.014,0.000,0.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.018,0.004,0.011,0.000,0.000,0.022,0.000,0.000,0.079,0.004,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.032,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.007,0.000,0.004,0.000,0.000
M9BW5C,0.000,0.000,0.002,0.000,0.233,0.054,0.038,0.004,0.000,0.015,0.000,0.042,0.004,0.000,0.000,0.000,0.000,0.004,0.002,0.011,0.000,0.000,0.088,0.002,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.002,0.019,0.027,0.015,0.000,0.004,0.034,0.004,0.004,0.031,0.000,0.011,0.008,0.002,0.042,0.000,0.023,0.042,0.000,0.004,0.000,0.168,0.000,0.011,0.015,0.000,0.004
M9BW7C,0.000,0.000,0.033,0.000,0.063,0.089,0.052,0.011,0.000,0.015,0.000,0.056,0.007,0.000,0.000,0.000,0.000,0.004,0.019,0.037,0.000,0.000,0.048,0.022,0.002,0.004,0.000,0.004,0.000,0.000,0.000,0.004,0.015,0.022,0.007,0.000,0.000,0.026,0.030,0.011,0.004,0.000,0.015,0.011,0.002,0.045,0.000,0.007,0.074,0.004,0.000,0.000,0.223,0.000,0.022,0.000,0.000,0.004
M9BW8C,0.000,0.004,0.023,0.004,0.101,0.035,0.035,0.002,0.004,0.012,0.000,0.089,0.012,0.000,0.000,0.000,0.000,0.004,0.031,0.016,0.000,0.000,0.074,0.016,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.004,0.016,0.035,0.012,0.000,0.004,0.070,0.012,0.000,0.008,0.000,0.019,0.008,0.008,0.039,0.000,0.004,0.120,0.012,0.008,0.004,0.124,0.000,0.000,0.008,0.000,0.008
M9BW14S,0.000,0.011,0.047,0.011,0.089,0.129,0.075,0.004,0.004,0.029,0.000,0.064,0.002,0.004,0.000,0.000,0.000,0.004,0.018,0.004,0.000,0.000,0.057,0.007,0.000,0.011,0.000,0.000,0.000,0.000,0.004,0.000,0.021,0.043,0.014,0.000,0.000,0.054,0.018,0.018,0.000,0.000,0.029,0.000,0.004,0.075,0.000,0.007,0.025,0.000,0.002,0.004,0.093,0.000,0.004,0.004,0.000,0.011
M9BW15S,0.000,0.007,0.230,0.000,0.137,0.019,0.026,0.004,0.019,0.015,0.000,0.115,0.002,0.000,0.000,0.000,0.000,0.000,0.011,0.002,0.000,0.000,0.082,0.004,0.000,0.033,0.000,0.000,0.000,0.000,0.007,0.004,0.056,0.033,0.004,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.002,0.037,0.071,0.000,0.000,0.000,0.000,0.030
M9BW16S,0.000,0.015,0.088,0.007,0.106,0.040,0.059,0.002,0.000,0.018,0.000,0.059,0.004,0.002,0.000,0.000,0.000,0.000,0.077,0.015,0.000,0.000,0.055,0.004,0.000,0.026,0.000,0.004,0.000,0.000,0.018,0.011,0.062,0.033,0.000,0.000,0.000,0.110,0.000,0.000,0.007,0.000,0.004,0.000,0.000,0.004,0.000,0.011,0.007,0.004,0.000,0.004,0.132,0.000,0.004,0.000,0.000,0.011
Y1FW6C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.043,0.016,0.035,0.283,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.004,0.086,0.004,0.012,0.004,0.004,0.000,0.000,0.279,0.000,0.000,0.020,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000
Y1FW8C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.158,0.000,0.000,0.000,0.000,0.004,0.046,0.002,0.042,0.262,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.081,0.000,0.015,0.000,0.004,0.000,0.000,0.224,0.000,0.000,0.046,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000
Y1FW10C,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.080,0.002,0.000,0.000,0.000,0.004,0.032,0.004,0.084,0.372,0.000,0.000,0.000,0.000,0.004,0.004,0.000,0.000,0.092,0.000,0.012,0.000,0.000,0.000,0.000,0.192,0.008,0.000,0.040,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.040,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.004,0.000
Y1FW12S,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.002,0.004,0.175,0.051,0.035,0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.023,0.000,0.000,0.000,0.000,0.233,0.004,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.000
Y1FW14S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.002,0.000,0.000,0.155,0.024,0.020,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.008,0.000,0.004,0.000,0.008,0.000,0.000,0.378,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Y1FW16S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.180,0.039,0.010,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.000,0.000,0.031,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000
Y1BW5C,0.000,0.000,0.008,0.004,0.008,0.019,0.008,0.000,0.000,0.000,0.004,0.039,0.008,0.004,0.000,0.000,0.000,0.002,0.016,0.008,0.000,0.000,0.210,0.019,0.000,0.101,0.000,0.004,0.000,0.000,0.000,0.016,0.019,0.261,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.058,0.000,0.004,0.023,0.000,0.000,0.016,0.000,0.000,0.002,0.109,0.000,0.004,0.012,0.000,0.008
Y1BW7C,0.000,0.000,0.027,0.000,0.015,0.008,0.000,0.000,0.000,0.008,0.000,0.077,0.004,0.000,0.000,0.000,0.000,0.000,0.035,0.023,0.000,0.000,0.212,0.039,0.000,0.089,0.000,0.008,0.000,0.000,0.000,0.008,0.008,0.150,0.000,0.000,0.000,0.015,0.000,0.000,0.002,0.000,0.069,0.000,0.012,0.015,0.000,0.000,0.012,0.004,0.000,0.008,0.092,0.000,0.023,0.023,0.000,0.008
Y1BW9C,0.000,0.004,0.000,0.015,0.023,0.004,0.008,0.000,0.000,0.002,0.000,0.050,0.002,0.000,0.000,0.000,0.000,0.000,0.019,0.039,0.000,0.000,0.159,0.027,0.000,0.077,0.000,0.008,0.000,0.000,0.000,0.012,0.004,0.116,0.004,0.000,0.000,0.015,0.008,0.000,0.000,0.000,0.058,0.000,0.008,0.054,0.000,0.000,0.050,0.000,0.000,0.019,0.101,0.000,0.046,0.031,0.000,0.031
Y1BW11S,0.000,0.000,0.020,0.008,0.020,0.008,0.012,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.016,0.000,0.000,0.134,0.020,0.000,0.079,0.000,0.008,0.000,0.000,0.000,0.008,0.020,0.281,0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.024,0.000,0.016,0.008,0.000,0.000,0.024,0.000,0.004,0.020,0.028,0.000,0.047,0.008,0.000,0.032
Y1BW13S,0.000,0.004,0.002,0.008,0.039,0.004,0.016,0.000,0.002,0.000,0.000,0.051,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.110,0.035,0.000,0.098,0.000,0.024,0.000,0.000,0.000,0.020,0.008,0.303,0.000,0.000,0.000,0.059,0.000,0.000,0.016,0.000,0.000,0.039,0.024,0.012,0.000,0.000,0.000,0.000,0.000,0.020,0.051,0.000,0.028,0.004,0.000,0.008
Y1BW16S,0.000,0.008,0.012,0.008,0.008,0.024,0.020,0.000,0.008,0.002,0.000,0.040,0.004,0.000,0.000,0.000,0.000,0.002,0.028,0.004,0.000,0.000,0.108,0.004,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.382,0.000,0.000,0.000,0.020,0.000,0.000,0.016,0.000,0.000,0.020,0.008,0.004,0.000,0.000,0.008,0.004,0.004,0.012,0.104,0.024,0.000,0.000,0.004,0.000